"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.00164366961345255,0.000468457763112702,3.50868262387428,0.000750967971380299
"airTemp",5.55028984598096e-06,3.18087290210994e-06,1.74489519600086,0.0849417023006617
"log.age",8.61617030079581e-05,2.45122372421591e-05,3.51504851053607,0.000735615502453639
"mean.depth",2.13166225263352e-06,7.70432845258606e-07,2.76683719515878,0.00706518336432679
"log.DIP",-6.4267747354864e-05,2.7239605173173e-05,-2.35934944527604,0.0208090554750453
"log.precip",-0.000141128718152353,7.33149685052623e-05,-1.92496458812805,0.0578796905859032
"log.SA",-2.27792686342728e-05,9.90290918449424e-06,-2.30026027805446,0.0241069193804775
